 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\92Mo_Si.txt

 Ion = Molybdenum [42] , Mass = 92 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.596E-01  4.703E+00     118 A        42 A        32 A   
  11.00 keV   2.723E-01  4.834E+00     125 A        44 A        33 A   
  12.00 keV   2.844E-01  4.953E+00     132 A        46 A        35 A   
  13.00 keV   2.960E-01  5.062E+00     138 A        48 A        37 A   
  14.00 keV   3.072E-01  5.162E+00     145 A        50 A        38 A   
  15.00 keV   3.180E-01  5.254E+00     151 A        52 A        40 A   
  16.00 keV   3.284E-01  5.339E+00     157 A        54 A        41 A   
  17.00 keV   3.385E-01  5.419E+00     164 A        55 A        43 A   
  18.00 keV   3.483E-01  5.493E+00     170 A        57 A        44 A   
  20.00 keV   3.671E-01  5.626E+00     182 A        60 A        47 A   
  22.50 keV   3.894E-01  5.771E+00     196 A        64 A        50 A   
  25.00 keV   4.105E-01  5.897E+00     211 A        68 A        53 A   
  27.50 keV   4.305E-01  6.006E+00     225 A        72 A        56 A   
  30.00 keV   4.497E-01  6.102E+00     239 A        76 A        59 A   
  32.50 keV   4.680E-01  6.187E+00     252 A        80 A        62 A   
  35.00 keV   4.857E-01  6.262E+00     266 A        83 A        65 A   
  37.50 keV   5.027E-01  6.329E+00     279 A        87 A        68 A   
  40.00 keV   5.192E-01  6.389E+00     292 A        90 A        71 A   
  45.00 keV   5.507E-01  6.490E+00     318 A        97 A        77 A   
  50.00 keV   5.805E-01  6.573E+00     344 A       104 A        82 A   
