 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\98Mo_98Mo.txt

 Ion = Molybdenum [42] , Mass = 98 amu

 Target Density =  1.0206E+01 g/cm3 = 6.2715E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.137E-01  2.031E+00      43 A        28 A        20 A   
  11.00 keV   1.192E-01  2.096E+00      46 A        30 A        21 A   
  12.00 keV   1.245E-01  2.156E+00      48 A        31 A        22 A   
  13.00 keV   1.296E-01  2.211E+00      51 A        33 A        23 A   
  14.00 keV   1.345E-01  2.262E+00      53 A        34 A        24 A   
  15.00 keV   1.392E-01  2.309E+00      56 A        35 A        25 A   
  16.00 keV   1.438E-01  2.353E+00      58 A        36 A        26 A   
  17.00 keV   1.482E-01  2.395E+00      60 A        38 A        27 A   
  18.00 keV   1.525E-01  2.434E+00      63 A        39 A        28 A   
  20.00 keV   1.608E-01  2.506E+00      67 A        41 A        30 A   
  22.50 keV   1.705E-01  2.585E+00      72 A        44 A        32 A   
  25.00 keV   1.798E-01  2.654E+00      78 A        47 A        34 A   
  27.50 keV   1.885E-01  2.716E+00      83 A        50 A        36 A   
  30.00 keV   1.969E-01  2.772E+00      88 A        52 A        38 A   
  32.50 keV   2.050E-01  2.822E+00      93 A        55 A        40 A   
  35.00 keV   2.127E-01  2.868E+00      98 A        57 A        42 A   
  37.50 keV   2.202E-01  2.909E+00     103 A        60 A        43 A   
  40.00 keV   2.274E-01  2.947E+00     108 A        62 A        45 A   
  45.00 keV   2.412E-01  3.013E+00     117 A        67 A        49 A   
  50.00 keV   2.542E-01  3.070E+00     127 A        72 A        52 A   
